yearStart,griisStatus,speciesCount,environment,category,pct_growth
1971,Introduced,4072,Terrestrial,Terrestrial - Introduced,0.0
1971,Invasive,250,Terrestrial,Terrestrial - Invasive,0.0
1976,Introduced,5017,Terrestrial,Terrestrial - Introduced,23.207269155206276
1976,Invasive,351,Terrestrial,Terrestrial - Invasive,40.39999999999999
1981,Introduced,5203,Terrestrial,Terrestrial - Introduced,27.775049115913554
1981,Invasive,382,Terrestrial,Terrestrial - Invasive,52.800000000000004
1986,Introduced,5952,Terrestrial,Terrestrial - Introduced,46.168958742632604
1986,Invasive,373,Terrestrial,Terrestrial - Invasive,49.2
1991,Introduced,6345,Terrestrial,Terrestrial - Introduced,55.82023575638506
1991,Invasive,439,Terrestrial,Terrestrial - Invasive,75.6
1996,Introduced,7598,Terrestrial,Terrestrial - Introduced,86.59135559921414
1996,Invasive,519,Terrestrial,Terrestrial - Invasive,107.60000000000001
2001,Introduced,8131,Terrestrial,Terrestrial - Introduced,99.68074656188605
2001,Invasive,604,Terrestrial,Terrestrial - Invasive,141.6
2006,Introduced,7440,Terrestrial,Terrestrial - Introduced,82.71119842829076
2006,Invasive,613,Terrestrial,Terrestrial - Invasive,145.2
2011,Introduced,7293,Terrestrial,Terrestrial - Introduced,79.10117878192536
2011,Invasive,609,Terrestrial,Terrestrial - Invasive,143.6
2016,Introduced,7532,Terrestrial,Terrestrial - Introduced,84.9705304518664
2016,Invasive,634,Terrestrial,Terrestrial - Invasive,153.6
1971,Introduced,416,Marine,Marine - Introduced,0.0
1971,Invasive,31,Marine,Marine - Invasive,0.0
1976,Introduced,624,Marine,Marine - Introduced,50.0
1976,Invasive,43,Marine,Marine - Invasive,38.70967741935485
1981,Introduced,521,Marine,Marine - Introduced,25.240384615384627
1981,Invasive,45,Marine,Marine - Invasive,45.16129032258065
1986,Introduced,668,Marine,Marine - Introduced,60.57692307692308
1986,Invasive,44,Marine,Marine - Invasive,41.93548387096775
1991,Introduced,500,Marine,Marine - Introduced,20.192307692307686
1991,Invasive,50,Marine,Marine - Invasive,61.29032258064515
1996,Introduced,565,Marine,Marine - Introduced,35.817307692307686
1996,Invasive,59,Marine,Marine - Invasive,90.3225806451613
2001,Introduced,575,Marine,Marine - Introduced,38.221153846153854
2001,Invasive,65,Marine,Marine - Invasive,109.6774193548387
2006,Introduced,386,Marine,Marine - Introduced,-7.211538461538458
2006,Invasive,53,Marine,Marine - Invasive,70.96774193548387
2011,Introduced,240,Marine,Marine - Introduced,-42.307692307692314
2011,Invasive,42,Marine,Marine - Invasive,35.48387096774193
2016,Introduced,398,Marine,Marine - Introduced,-4.326923076923073
2016,Invasive,51,Marine,Marine - Invasive,64.51612903225808
